Store Ranking,,,,,,,,,,,
Time:Latest 104 Weeks Thu-Wed Ending 012925,,,,,,,,,,,
Product:Soft-Drink,,,,,,,,,,,
Product2:Products by Vendor/Brand,,,,,,,,,,,
Vendor:All Vendors,,,,,,,,,,,
Sobeys Brand:All Brands,,,,,,,,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,,,,,,,,
Geography,Location No,Store No,Store Name,Division Name,Format Name,Banners Name,Store Address,Store Status - 52 Weeks,City Name,Province Name,Postal Code
Store 129,25784,129,Store 129,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,NEW,UNKNOWN,AB,UNKNOWN
Store 130,25271,130,Store 130,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 131,25264,131,Store 131,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 132,25565,132,Store 132,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 133,25864,133,Store 133,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 134,25567,134,Store 134,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 135,25270,135,Store 135,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 136,24427,136,Store 136,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 137,24224,137,Store 137,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 138,24225,138,Store 138,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 139,24227,139,Store 139,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 140,24445,140,Store 140,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 141,24446,141,Store 141,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 142,24226,142,Store 142,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 143,23967,143,Store 143,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 144,24488,144,Store 144,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 145,23945,145,Store 145,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 146,23964,146,Store 146,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 147,24447,147,Store 147,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 148,24444,148,Store 148,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 149,23969,149,Store 149,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,MB,UNKNOWN
Store 150,23970,150,Store 150,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,MB,UNKNOWN
Store 151,24785,151,Store 151,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,MB,UNKNOWN
Store 152,24786,152,Store 152,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,MB,UNKNOWN
Store 153,24787,153,Store 153,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,MB,UNKNOWN
