Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 050422,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 31,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,19.98,3
Store 31,Cocacola Classic 8520 Ml,00006700002011,132.9,15
Store 31,Dads Root Beer 4 Ea,00083362701040,14.98,3
Store 31,Fentimans Ginger Beer 800 Ml,00502939601222,14.98,3
Store 32,7Up Soft Drink Diet 1332 Ml,00006540001808,35.96,6
Store 32,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,19.98,3
Store 32,Canaddry Gingerale 355 Ml,00006210001893,63.68,48
Store 32,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,111.86,21
Store 32,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 32,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,59.92,12
Store 32,Comp Soft Drink Cola 1332 Ml,00005574255844,79.92,12
Store 32,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,79.92,12
Store 32,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,21.98,3
Store 32,Cocacola Classic 8520 Ml,00006700002011,79.74,9
Store 32,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,14.98,3
Store 32,Fentimans Ginger Beer 800 Ml,00502939601222,44.94,9
Store 33,7Up Soft Drink Diet 1332 Ml,00006540001808,215.76,36
Store 33,Canaddry Gingerale 355 Ml,00006210001893,71.64,54
Store 33,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,143.82,27
Store 33,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,127.92,12
Store 33,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,134.82,27
Store 33,Comp Soft Drink Cola 1332 Ml,00005574255844,159.84,24
Store 33,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,79.92,12
Store 33,Cocacola Classic 8520 Ml,00006700002011,132.9,15
Store 33,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,59.92,12
Store 33,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,59.92,12
Store 33,Dads Root Beer 4 Ea,00083362701040,134.82,27
Store 33,Fentimans Ginger Beer 800 Ml,00502939601222,44.94,9
Store 34,7Up Soft Drink Diet 1332 Ml,00006540001808,35.96,6
Store 34,Pepsi Zero Sugar 1332 Ml,00006900015936,19.98,3
Store 34,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 34,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,143.82,27
Store 34,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,63.96,6
Store 34,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,119.88,18
Store 34,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,29.96,6
Store 34,Comp Soft Drink Cola 1332 Ml,00005574255844,39.96,6
Store 34,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,59.94,9
Store 34,Cocacola Classic 8520 Ml,00006700002011,106.32,12
Store 34,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,44.94,9
Store 34,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,14.98,3
Store 35,Pepsi Zero Sugar 1332 Ml,00006900015936,19.98,3
Store 35,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 35,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,175.78,33
Store 35,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,79.92,12
Store 35,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,19.98,3
Store 35,Cocacola Classic 8520 Ml,00006700002011,53.16,6
Store 35,Dads Root Beer 4 Ea,00083362701040,14.98,3
Store 36,7Up Soft Drink Diet 1332 Ml,00006540001808,35.96,6
Store 36,Pepsi Zero Sugar 1332 Ml,00006900015936,39.96,6
Store 36,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,159.8,30
Store 36,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,95.94,9
Store 36,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,159.84,24
Store 36,Comp Soft Drink Cola 1332 Ml,00005574255844,39.96,6
Store 36,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,39.96,6
Store 36,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,21.98,3
Store 36,Cocacola Classic 8520 Ml,00006700002011,159.48,18
Store 36,Dads Root Beer 4 Ea,00083362701040,29.96,6
Store 38,7Up Soft Drink Diet 1332 Ml,00006540001808,89.9,15
Store 38,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 38,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,143.82,27
Store 38,Pepsi Throwback 355 Ml,00006900002088,8.98,3
Store 38,Fanta Soda Pop Orange 1332 Ml,00006700002153,59.94,9
Store 38,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 38,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,74.9,15
Store 38,Comp Soft Drink Cola 1332 Ml,00005574255844,119.88,18
Store 38,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,59.94,9
Store 38,Cocacola Classic 8520 Ml,00006700002011,106.32,12
Store 38,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,14.98,3
Store 38,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,44.94,9
Store 38,Dads Root Beer 4 Ea,00083362701040,14.98,3
Store 39,7Up Soft Drink Diet 1332 Ml,00006540001808,35.96,6
Store 39,Canaddry Gingerale 355 Ml,00006210001893,115.42,87
Store 39,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,175.78,33
Store 39,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,59.92,12
Store 39,Comp Soft Drink Cola 1332 Ml,00005574255844,59.94,9
Store 39,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,19.98,3
Store 39,Cocacola Classic 8520 Ml,00006700002011,159.48,18
Store 39,Fentimans Ginger Beer 800 Ml,00502939601222,29.96,6
Store 40,7Up Soft Drink Diet 1332 Ml,00006540001808,71.92,12
Store 40,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 40,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,159.8,30
Store 40,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 40,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,199.8,30
Store 40,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,29.96,6
Store 40,Comp Soft Drink Cola 1332 Ml,00005574255844,79.92,12
Store 40,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,139.86,21
Store 40,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,43.96,6
Store 40,Cocacola Classic 8520 Ml,00006700002011,53.16,6
Store 40,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,14.98,3
Store 40,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,14.98,3
Store 40,Dads Root Beer 4 Ea,00083362701040,29.96,6
Store 41,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,39.96,6
