Division,Store Banner,Store No,Store Name,Address,City,Prv,Postal Code,Telephone,Fax
Super Market,Your Independent Grocer,1417,Store 1417,Unknown,Unknown,NL,Unknown,Unknown,Unknown
Super Market,Your Independent Grocer,1419,Store 1419,Unknown,Unknown,NB,Unknown,Unknown,Unknown
Super Market,Your Independent Grocer,1423,Store 1423,Unknown,Unknown,NL,Unknown,Unknown,Unknown
Super Market,Loblaws,1424,Store 1424,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,1434,Store 1434,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,1436,Store 1436,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Joe Fresh,Joe Fresh,1443,Store 1443,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,1495,Store 1495,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Real Canadian Superstore,1502,Store 1502,Unknown,Unknown,AB,Unknown,Unknown,Unknown
Super Market,Real Canadian Superstore,1503,Store 1503,Unknown,Unknown,MB,Unknown,Unknown,Unknown
