product,upc,vendor,brand,category,subcategory,item_size,item_unit,pack_qty
Cocacola Soft Drink Zero Sugar 300 Ml,00006700001807,COCA COLA,COKE ZERO,CARBONATED SOFT DRINKS,Cola,1800,ml,6
Comp Sd Club Soda 355 Ml,00005574234579,PRIVATE LABEL,COMPLIMENTS,CARBONATED SOFT DRINKS,Tonic And Ales,2130,ml,6
Cocacola Cherry 250 Ml,00006700001005,COCA COLA,CHERRY COKE,CARBONATED SOFT DRINKS,Cola,1500,ml,6
Cott Cola Diete Csd 2L 2000 Ml,00006150011987,REFRESCO NORTH AMERICA,COTT,CARBONATED SOFT DRINKS,Cola,2000,ml,1
Soca Fruit Punch 400 Ml,00501439631272,SOCA,SOCA,CARBONATED SOFT DRINKS,Ethnic,2400,ml,6
Soca Banana 400 Ml,00501439631267,SOCA,SOCA,CARBONATED SOFT DRINKS,Ethnic,2400,ml,6
Chill Street Parade Cherry Col 330 Ml,00084055701010,CHILL STREET BREWING,CHILL STREET,CARBONATED SOFT DRINKS,Cola,1980,ml,6
Dg Kola Champagne 355Ml 355 Ml,00085862901102,SHAH TRADING CO,DG,CARBONATED SOFT DRINKS,Ethnic,2130,ml,6
Sprite Zero 355 Ml,00006700001461,COCA COLA,SPRITE ZERO,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Auralis Focused Lion Mane 355 Ml,00062805577283,BOREAL BOTANICAL BREWING,BOREAL BOTANICAL,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Marco Soda Spruce Can 355 Ml,00062869376100,SODAS MARCO,SODAS MARCO,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Stewarts Soda Grape 355 Ml,00009879401047,KEURIG DR PEPPER,STEWARTS,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Big8 Sparkling Cran Rasp 2000 Ml,00006448001130,PRIVATE LABEL,BIG 8,CARBONATED SOFT DRINKS,Flavoured,2000,ml,1
Grtjamai Bitter Lemon 1500 Ml,00005578901955,THE GREAT GENTLEMAN,THE GREAT GENTLEMAN,CARBONATED SOFT DRINKS,Tonic And Ales,1500,ml,6
Fresca Frdge/Mate Sugar Free 355 Ml,00006700001934,COCA COLA,FRESCA,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,2130,ml,6
Favuzzi Soda Siciln Bld Orange 275 Ml,00083266101043,FAVUZZI INTERNATIONAL,FAVUZZI,CARBONATED SOFT DRINKS,Tonic And Ales,1650,ml,6
Jarritos Tamarind Drink 1.5L 1500 Ml,00009047822622,JARRITOS,JARRITOS,CARBONATED SOFT DRINKS,Tonic And Ales,1500,ml,6
Favuzzi Lemonade Sprk Sicilian 275 Ml,00083266101044,FAVUZZI INTERNATIONAL,FAVUZZI,CARBONATED SOFT DRINKS,Tonic And Ales,1650,ml,6
Chllstrt Road Trip Root Beer 330 Ml,00084055701005,CHILL STREET BREWING,CHILL STREET,CARBONATED SOFT DRINKS,Cola,1980,ml,6
Gurds Mixers Grapefruit Tnic 1000 Ml,00005749602149,STATION 22,GURDS,CARBONATED SOFT DRINKS,Tonic And Ales,1000,ml,1
Gurds Soda Tonic Water 1000 Ml,00005749602147,STATION 22,GURDS,CARBONATED SOFT DRINKS,Tonic And Ales,1000,ml,1
Crush Cream Soda Cans 355Ml 355 Ml,00005600001603,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Specialty,2130,ml,6
Chllstrt Danceorange Creamsicl 330 Ml,00084055701008,CHILL STREET BREWING,CHILL STREET,CARBONATED SOFT DRINKS,Cola,1980,ml,6
Chllstrt Carnival Cream Soda 330 Ml,00084055701006,CHILL STREET BREWING,CHILL STREET,CARBONATED SOFT DRINKS,Cola,1980,ml,6
